Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,IsBaseline,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,N,Mean,Error,StdDev,Rank
AddMonkeyss,QuickJob,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,100,Default,1,Default,5,1,3,100,10.305 us,8.4861 us,2.2042 us,2
AddMonkeys,QuickJob,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,100,Default,1,Default,5,1,3,100,11.177 us,5.8730 us,1.5255 us,2
GetMonkeys,QuickJob,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,100,Default,1,Default,5,1,3,100,"345,435.276 us","51,604.7188 us","13,404.1337 us",4
AddMonkeyss,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,100,6.790 us,0.1384 us,0.0078 us,1
AddMonkeys,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,100,25.923 us,236.4523 us,13.3600 us,2
GetMonkeys,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,100,"358,079.757 us","590,123.7522 us","33,343.0863 us",4
AddMonkeyss,QuickJob,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,100,Default,1,Default,5,1,3,10000,"1,920.307 us",815.4627 us,211.8134 us,3
AddMonkeys,QuickJob,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,100,Default,1,Default,5,1,3,10000,"2,149.856 us","1,237.5691 us",321.4540 us,3
GetMonkeys,QuickJob,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,100,Default,1,Default,5,1,3,10000,"342,773.659 us","74,075.1772 us","19,240.7517 us",4
AddMonkeyss,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,10000,"1,810.704 us",90.9701 us,5.1400 us,3
AddMonkeys,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,10000,"2,969.151 us","26,416.0867 us","1,492.5579 us",3
GetMonkeys,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,10000,"367,372.417 us","732,894.9807 us","41,409.9255 us",4
